ID;nombre_lugar;latitud;longitud;direccion_ubicacion;descripcion_corta;descripcion_larga;palabras_clave;tipo_lugar;transporte_opciones;actividades_principales;opciones_comida;rango_costo;url_imagen_principal;url_imagen_sec;horario_apertura;horario_cierre;epoca_recomendada
LUG001;Plaza de Armas;-13.5170;-71.9785;"Centro Histórico de Cusco, Cusco, Perú";"El corazón histórico y cultural de Cusco, rodeado por la Catedral y la Iglesia de la Compañía de Jesús.";"La Plaza de Armas de Cusco, conocida en tiempos incas como Huacaypata o Aucaypata (""Plaza del Guerrero""), fue el centro ceremonial y administrativo del Tawantinsuyu. Aquí se realizaban importantes ceremonias religiosas y militares, y fue testigo de eventos cruciales como la proclamación de la conquista española y la ejecución de Túpac Amaru II. Hoy, es el vibrante epicentro de la vida cusqueña, flanqueada por majestuosas construcciones coloniales sobre cimientos incas. Es un punto de encuentro, un lugar para observar la vida local, disfrutar de la historia y el ambiente, y punto de partida para muchas excursiones. Su diseño fusiona la grandiosidad inca con la estética colonial, reflejando la compleja historia de la ciudad. El espacio abierto y la presencia de jardines y fuentes contribuyen a su atractivo como un oasis urbano. La Plaza de Armas, como nexo histórico y contemporáneo, es un ""centro"" crucial en un sistema de recomendación. Su centralidad, accesibilidad y la diversidad de atracciones circundantes la convierten en un punto de partida natural para numerosos itinerarios, especialmente para quienes visitan la ciudad por primera vez o disponen de tiempo limitado.";"Plaza principal, centro histórico, punto de encuentro, vida urbana, historia, cultura.";"Plaza urbana, centro histórico.";"A pie desde la mayoría de alojamientos del centro, taxis, transporte público.";"Observación de la gente, fotografía, visita a la Catedral y la Compañía de Jesús, disfrutar del ambiente, punto de partida para tours.";"Amplia variedad de restaurantes, cafés y bares con vistas a la plaza.";"Free (acceso a la plaza), Low-Medium (restaurantes y tiendas circundantes).";;;24/7;24/7;"Todo el año, especialmente durante festividades como Inti Raymi."
LUG002;Qoricancha;-13.5200;-71.9733;"Av. El Sol 900, Cusco, Perú";"Antiguo Templo del Sol Inca, sobre el cual se construyó el Convento de Santo Domingo, simbolizando la fusión cultural.";"Qoricancha, o ""Recinto de Oro"", fue el templo más sagrado y suntuoso del Imperio Inca, dedicado al dios Sol (Inti), la Luna (Mama Killa), las estrellas y otras deidades. Sus muros estaban recubiertos de oro puro, y albergaba figuras de oro de llamas y maíz, simbolizando la riqueza y la conexión inca con la naturaleza y el cosmos. Tras la conquista española, el Convento de Santo Domingo fue erigido directamente sobre sus impresionantes cimientos incas, un acto de superposición cultural y religiosa. Este sitio es un testimonio excepcional de la maestría arquitectónica inca, con sus bloques de piedra perfectamente encajados sin mortero, y la posterior adaptación colonial. La fusión de estilos ofrece una narrativa poderosa sobre la resiliencia cultural y la imposición histórica. Es un lugar clave para entender la cosmovisión incaica y el sincretismo religioso. Qoricancha ejemplifica la naturaleza de ""palimpsesto"" de Cusco, donde las capas de historia se superponen visiblemente.";"Qoricancha, Templo del Sol, Inca, Santo Domingo, Convento, arquitectura inca, sincretismo, oro, Inti, cosmovisión, Cusco, historia, arqueología, religión";"Sitio arqueológico, templo, convento, museo.";"A pie desde el centro histórico, taxis";"Exploración de las ruinas incas y el convento, apreciación arquitectónica, aprendizaje sobre la historia y religión inca";"Restaurantes y cafés cercanos en Av. El Sol y calles adyacentes";"Medium (entrada).";;;L-S: 08:00, D: 14:00;L-S: 17:00, D: 17:00;"Todo el año, preferiblemente por la mañana para evitar multitudes."
LUG003;Museo Histórico Regional;-13.5158;-71.9790;"Calle Heladeros s/n, Cusco, Perú (Casa Garcilaso)";"Museo ubicado en la casa natal del Inca Garcilaso de la Vega, que exhibe la historia de Cusco desde el pre-Inca hasta la colonia.";"El Museo Histórico Regional de Cusco está emplazado en la Casa del Inca Garcilaso de la Vega, un edificio colonial significativo por ser la cuna del cronista mestizo más importante del Perú. El museo ofrece un recorrido exhaustivo por la historia de la región de Cusco, desde las culturas pre-incas (Marcavalle, Chanapata), pasando por el apogeo del Imperio Inca, la llegada de los españoles y el periodo colonial, hasta la época republicana. Sus colecciones incluyen cerámica, textiles, herramientas, objetos de oro y plata, y pinturas de la Escuela Cusqueña. Es un lugar fundamental para contextualizar la rica herencia cultural de Cusco y comprender la evolución de sus sociedades, ofreciendo una perspectiva complementaria a la visita de los sitios arqueológicos.";"Museo, historia, Cusco, Inca Garcilaso de la Vega, pre-Inca, colonial, republicano, cerámica, textiles, Escuela Cusqueña, arte, cultura.";"Museo histórico.";"A pie desde el centro histórico.";"Exploración de exhibiciones, aprendizaje sobre la historia regional, apreciación del arte colonial.";"Restaurantes y cafés cercanos.";"Medium (incluido en el Boleto Turístico de Cusco).";;;L-S: 08:00;L-S: 17:00;"Todo el año."
LUG004;Sacsayhuamán;-13.509;-71.977;"A 2 km al norte de la Plaza de Armas de Cusco, Perú";"Impresionante fortaleza inca con enormes muros de piedra, ofreciendo vistas panorámicas de Cusco.";"Sacsayhuamán, cuyo nombre en quechua puede significar 'halcón satisfecho' o 'cabeza de halcón', es una monumental fortaleza ceremonial inca ubicada en las alturas de Cusco...";"Sacsayhuamán, fortaleza inca, arqueología, Cusco, Inti Raymi, piedras ciclópeas, arquitectura inca, puma, vistas panorámicas, historia, cultura.";"Sitio arqueológico, fortaleza.";"Caminata (30-40 min cuesta arriba), taxi, autobús turístico.";"Exploración de las ruinas, fotografía, apreciación de la ingeniería inca, vistas panorámicas, observación de aves.";"Vendedores ambulantes cerca de la entrada, restaurantes en Cusco.";"Medium (incluido en el Boleto Turístico de Cusco).";;;07:00;18:00;"Todo el año, especialmente durante festividades como Inti Raymi (24 de junio)."
LUG008;Casa del Almirante;-13.5165;-71.9780;"Cuesta del Almirante 248, Cusco, Perú";"Mansión colonial del siglo XVII, ejemplo de arquitectura hispana sobre cimientos incas.";"La Casa del Almirante es una de las casonas coloniales más destacadas de Cusco, construida en el siglo XVII sobre muros incas. Fue la residencia del Almirante Francisco Aldrete Maldonado. Su fachada ostenta un impresionante escudo nobiliario y balcones tallados, típicos de la arquitectura virreinal. Actualmente alberga el Museo Inka de la Universidad Nacional de San Antonio Abad del Cusco, que exhibe una vasta colección de artefactos incas y pre-incas, incluyendo cerámica, orfebrería, textiles y momias. Es un lugar que permite apreciar la superposición de culturas y la vida de la nobleza colonial.";"Casa del Almirante, casona colonial, arquitectura virreinal, Cusco, museo, Inca, historia, arte, nobleza.";"Edificio histórico, museo";"A pie desde la Plaza de Armas";"Visita al museo, apreciación arquitectónica, fotografía";"Restaurantes cercanos en el centro histórico.";"Low-Medium";;;L-S: 08:00;L-S: 17:00;"Todo el año."
LUG009;Calle del Almirante;-13.5167;-71.9782;"Centro Histórico, Cusco, Perú";"Calle estrecha y pintoresca que conecta la Plaza de Armas con la Casa del Almirante, con arquitectura colonial.";"La Calle del Almirante es una de las pintorescas vías del centro histórico de Cusco, caracterizada por su arquitectura colonial bien conservada y sus calles empedradas. Conecta la Plaza de Armas con la Casa del Almirante y la Plazoleta Nazarenas. Es una calle tranquila que invita a pasear y observar los detalles de las casonas y balcones coloniales. Su atmósfera evoca el pasado virreinal de la ciudad.";"Calle del Almirante, calle histórica, Cusco, arquitectura colonial, centro histórico, paseo.";"Calle histórica, punto de interés urbano";"A pie";"Paseo, fotografía, observación de arquitectura";"Cafés y restaurantes cercanos";"Free";;;24/7;24/7;"Todo el año"
LUG010;Calle Purgatorio;-13.5160;-71.9775;"Centro Histórico, Cusco, Perú";"Calle estrecha y empinada en el barrio de San Blas, conocida por su ambiente bohemio y talleres de arte.";"La Calle Purgatorio es una de las calles más emblemáticas y pintorescas del barrio de San Blas, en el centro histórico de Cusco. Es conocida por su pendiente pronunciada, sus casas coloniales con balcones floridos y su ambiente bohemio. A lo largo de esta calle y sus alrededores se encuentran numerosos talleres de artistas y artesanos, galerías de arte y pequeños cafés, lo que la convierte en un punto de interés para quienes buscan el arte local y la vida cultural alternativa de Cusco.";"Calle Purgatorio, San Blas, Cusco, calle bohemia, arte, artesanía, talleres, galerías, centro histórico.";"Calle histórica, barrio artístico";"A pie";"Paseo, exploración de talleres de arte, compras de artesanías, fotografía.";"Cafés y restaurantes en San Blas";"Free (paseo), Low-Medium (compras, cafés)";;;24/7;24/7;"Todo el año"
LUG011;Plazoleta Nazarenas;-13.5145;-71.9765;"Calle Nazarenas, Cusco, Perú";"Pequeña y encantadora plaza en el centro histórico, rodeada de hoteles boutique y casonas coloniales.";"La Plazoleta Nazarenas es una de las plazas más encantadoras y exclusivas del centro histórico de Cusco. Ubicada en una zona tranquila, está rodeada por imponentes casonas coloniales restauradas que ahora albergan hoteles boutique de lujo y restaurantes de alta cocina. La plazoleta es un oasis de calma con una fuente central, ideal para un momento de relax y para apreciar la arquitectura colonial. Su ambiente sofisticado la convierte en un punto de referencia para el turismo de lujo y cultural.";"Plazoleta Nazarenas, Cusco, centro histórico, hoteles boutique, casonas coloniales, arquitectura, lujo, tranquilidad";"Plaza urbana, punto de interés urbano";"A pie";"Relajo, fotografía, observación de arquitectura";"Restaurantes de alta cocina y cafés";"Free (acceso a la plaza), High (servicios circundantes)";;;24/7;24/7;"Todo el año"
LUG012;Siete Culebras;-13.5140;-71.9760;"Centro Histórico, Cusco, Perú";"Calle inca-colonial famosa por sus muros incas y el relieve de siete serpientes en una de sus paredes.";"La calle Siete Culebras es una de las vías más singulares del centro histórico de Cusco, conocida por su impresionante muro inca que sirve de base a construcciones coloniales. Su nombre proviene de los relieves de siete serpientes (culebras) talladas en una de las paredes incas, que simbolizan la sabiduría en la cosmovisión andina. Esta calle es un testimonio vívido de la superposición cultural en Cusco, donde la ingeniería inca se fusiona con la arquitectura colonial. Es un lugar fascinante para los amantes de la historia y la fotografía.";"Siete Culebras, Cusco, calle inca, muro inca, serpientes, cosmovisión andina, arquitectura colonial, historia, fotografía.";"Calle histórica, punto de interés arqueológico";"A pie";"Paseo, fotografía, apreciación de arquitectura inca y colonial";"Restaurantes y cafés cercanos.";"Free";;;24/7;24/7;"Todo el año"
LUG013;Choquechaca;-13.5135;-71.9755;"Centro Histórico, Cusco, Perú";"Calle en el barrio de San Blas, conocida por sus casonas coloniales y ambiente tranquilo.";"Choquechaca es una calle pintoresca ubicada en el tradicional barrio de San Blas, en Cusco. Se caracteriza por sus casonas coloniales bien conservadas, sus balcones floridos y un ambiente más tranquilo en comparación con las calles más concurridas del centro. Es un lugar ideal para un paseo relajado, descubriendo pequeños talleres de artesanía y galerías de arte que se mezclan con la vida residencial local.";"Choquechaca, San Blas, Cusco, calle colonial, artesanía, arte, ambiente tranquilo, paseo.";"Calle histórica, barrio artesanal";"A pie";"Paseo, compras de artesanías, fotografía";"Cafés y restaurantes en San Blas";"Free (paseo), Low-Medium (compras, cafés)";;;24/7;24/7;"Todo el año"
LUG014;Atoqsaycuchi;-13.5130;-71.9750;"Centro Histórico, Cusco, Perú";"Calle empinada en el barrio de San Blas, con arquitectura colonial y vistas panorámicas.";"Atoqsaycuchi es una calle empinada en el barrio de San Blas, que ofrece vistas parciales del centro de Cusco a medida que se asciende. Como muchas calles en San Blas, está flanqueada por casas coloniales con balcones y pequeños negocios de arte y artesanía. Su nombre, de origen quechua, se traduce como "donde el zorro se asusta", lo que añade un toque de misticismo local. Es una calle que combina el esfuerzo de la subida con la recompensa de la tranquilidad y el encanto local.";"Atoqsaycuchi, San Blas, Cusco, calle empinada, arquitectura colonial, vistas, arte, artesanía.";"Calle histórica, barrio artesanal";"A pie";"Paseo, observación de la vida local, fotografía de arquitectura tradicional.";"Pequeñas tiendas y cafés locales.";"Free";;;24/7;24/7;"Todo el año"
LUG015;Siete Diablitos;-13.5125;-71.9745;"Centro Histórico, Cusco, Perú";"Calle estrecha en San Blas, parte del encanto laberíntico del barrio";"Siete Diablitos es una de las calles más angostas y con más carácter del barrio de San Blas. Su nombre peculiar, como el de muchas calles cusqueñas, se asocia a leyendas locales. La calle está rodeada de casas coloniales y es parte del entramado de callejones que le dan a San Blas su atmósfera única y bohemia, con pequeños talleres y tiendas de artesanía.";"Siete Diablitos, San Blas, Cusco, calle estrecha, leyendas, bohemio, artesanía";"Calle histórica, barrio artesanal";"A pie";"Paseo, fotografía, exploración del barrio.";"Pequeños restaurantes y cafés ofrecen platos tradicionales de la región.";"Free";;;24/7;24/7;"Todo el año"
LUG016;Siete Angelitos;-13.5120;-71.9740;"Centro Histórico, Cusco, Perú";"Calle pintoresca en San Blas, famosa por sus balcones coloniales y murales de ángeles.";"Siete Angelitos es una de las calles más fotografiadas del barrio de San Blas, conocida por sus casas coloniales con balcones de madera y, en particular, por los murales de siete ángeles pintados en una de sus paredes, que le dan nombre a la calle. Es un lugar con encanto, que refleja la vida cotidiana del barrio y la creatividad de sus artistas. Es un punto de interés para quienes buscan la estética colonial y el arte urbano en Cusco.";"Siete Angelitos, San Blas, Cusco, calle pintoresca, balcones coloniales, murales, ángeles, arte urbano, fotografía.";"Calle histórico, barrio artesanal";"A pie";"Paseo, fotografía de arquitectura y detalles artísticos, exploración de talleres de arte.";"Cafés y restaurantes en San Blas.";"Free (paseo), Low-Medium (compras, cafés)";;;24/7;24/7;"Todo el año"
LUG017;Calle Carmen Alto;-13.5115;-71.9735;"Centro Histórico, Cusco, Perú";"Calle empinada en San Blas con vistas panorámicas y ambiente residencial.";"La Calle Carmen Alto es una de las vías más altas del barrio de San Blas, ofreciendo impresionantes vistas panorámicas de la ciudad de Cusco y los tejados de sus casas coloniales. Es una calle mayormente residencial, lo que permite una inmersión en la vida local del barrio. La subida es exigente, pero la recompensa son las vistas y la tranquilidad de la zona. Es un lugar para alejarse del bullicio turístico y disfrutar de la perspectiva de la ciudad.";"Calle Carmen Alto, San Blas, Cusco, vistas panorámicas, calle histórica, arquitectura tradicional, paseo.";"Calle histórica, mirador natural";"A pie";"Paseo, disfrute de vistas panorámicas, fotografía.";"Cafés y restaurantes cercanos en San Blas.";"Free";;;24/7;24/7;"Todo el año"
LUG018;Plaza San Blas;-13.5140;-71.9750;"Barrio de San Blas, Cusco, Perú";"Centro neurálgico del bohemio barrio de San Blas, rodeado de talleres de artesanos y la iglesia.";"La Plaza San Blas es el corazón del pintoresco y bohemio barrio del mismo nombre en Cusco. Es una plaza pequeña, pero vibrante, rodeada de talleres de artistas y artesanos, galerías de arte, tiendas de recuerdos y acogedores cafés y restaurantes. La plaza está dominada por la Iglesia de San Blas, famosa por su púlpito de madera tallado. Es un lugar de encuentro para locales y turistas, ideal para empaparse del ambiente artístico, buscar artesanías únicas y disfrutar de la vida cultural de Cusco. A menudo hay artistas exponiendo sus obras en la misma plaza.";"Plaza San Blas, San Blas, Cusco, arte, artesanía, bohemio, Iglesia de San Blas, púlpito, centro histórico, talleres, galerías, vida cultural.";"Plaza urbana, centro artístico";"A pie";"Exploración de talleres y galerías, compras de artesanías, visita a la Iglesia de San Blas, disfrutar del ambiente, observación de artistas.";"Amplia variedad de cafés y restaurantes en la plaza y sus alrededores.";"Free (acceso a la plaza), Low-Medium (compras, comidas)";;;24/7;24/7;"Todo el año."
LUG019;Hatumrumiyoc;-13.5148;-71.9768;"Calle Hatumrumiyoc, Cusco, Perú";"Famosa calle inca con la Piedra de los Doce Ángulos, ejemplo de arquitectura inca perfecta.";"Hatumrumiyoc, cuyo nombre significa ""Gran piedra"" en quechua, es una de las calles más icónicas y visitadas del centro histórico de Cusco. Es famosa por albergar el ""Muro Inca de Hatunrumiyoc"" que formaba parte del palacio de Inca Roca, y en particular, la mundialmente conocida ""Piedra de los Doce Ángulos"". Esta piedra es un testimonio asombroso de la ingeniería y precisión incaica, encajando perfectamente con las piedras circundantes sin ningún tipo de mortero. La calle está flanqueada por otros muros incas y construcciones coloniales levantadas sobre ellos, lo que la convierte en un lugar imprescindible para comprender la superposición de culturas en Cusco. Es también un corredor turístico con tiendas de artesanías y platerías.";"Hatumrumiyoc, Piedra de los Doce Ángulos, muro inca, Inca Roca, arquitectura inca, Cusco, centro histórico, artesanía, platería, calle famosa.";"Sitio arqueológico urbano, calle histórica, punto de interés turístico";"A pie";"Observación y fotografía de la Piedra de los Doce Ángulos, apreciación de la arquitectura inca, compras de artesanías y joyería.";"Restaurantes y cafés cercanos.";"Free (acceso a la calle), Low-Medium (compras)";;;24/7;24/7;"Todo el año."